material,peak,sigma,unit,kind_reporting_only,status,rung,exact_ratio,predicted,pull_sigma
BaCo2V2O8,1.2,0.1,meV,single_marker,assigned,1,1.0,1.2152,-0.15
BaCo2V2O8,2.0051,0.1,meV,single_marker,assigned,2,1.618034,1.9662,0.39
BaCo2V2O8,2.5077,0.1,meV,single_marker,assigned,3,1.989044,2.417,0.91
BaCo2V2O8,2.7821,0.12,meV,other_peak,unassigned,,,,
BaCo2V2O8,3.0,0.1,meV,single_marker,assigned,4,2.404867,2.9223,0.78
BaCo2V2O8,3.2846,0.12,meV,other_peak,unassigned,,,,
BaCo2V2O8,3.6256,0.1,meV,single_marker,assigned,5,2.956295,3.5924,0.33
BaCo2V2O8,3.8974,0.1,meV,single_marker,assigned,6,3.21834,3.9108,-0.13
BaCo2V2O8,4.0897,0.12,meV,other_peak,unassigned,,,,
BaCo2V2O8,4.2846,0.12,meV,other_peak,unassigned,,,,
BaCo2V2O8,4.4974,0.1,meV,single_marker,unassigned,,,,
BaCo2V2O8,4.6538,0.12,meV,other_peak,assigned,7,3.891157,4.7284,-0.62
BaCo2V2O8,4.9564,0.12,meV,other_peak,unassigned,,,,
BaCo2V2O8,5.1154,0.12,meV,other_peak,unassigned,,,,
BaCo2V2O8,5.2692,0.12,meV,other_peak,unassigned,,,,
BaCo2V2O8,5.3872,0.12,meV,other_peak,unassigned,,,,
BaCo2V2O8,5.7564,0.1,meV,single_marker,assigned,8,4.783386,5.8126,-0.56
CoNb2O6,0.16,0.01,THz,single_label_m1,assigned,1,1.0,0.1605,-0.05
CoNb2O6,0.26,0.01,THz,single_label_m2,assigned,2,1.618034,0.2597,0.03
CoNb2O6,0.32,0.01,THz,single_label_m3,assigned,3,1.989044,0.3193,0.07
CoNb2O6,0.4,0.01,THz,single_label_m4,assigned,4,2.404867,0.386,1.4
CoNb2O6,0.43,0.01,THz,broad_m1_plus_m2_onset,unassigned,,,,
CoNb2O6,0.47,0.01,THz,single_label_m5,assigned,5,2.956295,0.4746,-0.46
CoNb2O6,0.51,0.01,THz,single_label_m6,assigned,6,3.21834,0.5166,-0.66
